53	290	0.893939394
234	219	1.0
206	219	1.0
139	234	1.0
206	234	1.0
219	234	1.0
139	219	0.992647059
194	427	1.0
128	166	1.0
108	166	0.991017964
40	170	0.843283582
123	360	0.891041162
174	65	0.834196891
188	425	0.826979472
178	415	0.848
180	415	0.843137255
180	178	0.833333333
166	225	1.0
108	225	0.96969697
213	129	1.0
208	129	1.0
166	128	1.0
108	128	0.996441281
164	401	0.909090909
4	367	0.809924679
5	367	0.816290394
130	286	0.825842697
81	318	1.0
146	81	1.0
146	318	1.0
58	295	0.824639841
57	294	0.810483871
56	293	1.0
75	312	0.808432148
146	383	1.0
81	383	1.0
81	146	1.0
175	412	0.939130435
129	213	1.0
208	213	1.0
64	301	0.820638821
130	379	0.828571429
119	356	0.879310345
62	205	1.0
135	205	0.901960784
141	378	0.855895197
45	282	0.830601093
130	242	0.81919147
4	5	0.8125
169	117	0.820244328
130	241	0.812444444
5	4	0.810703229
3	240	0.820868733
194	381	1.0
139	206	1.0
219	206	1.0
234	206	1.0
152	389	0.832214765
196	433	0.860927152
178	417	0.811320755
178	180	0.801886792
170	40	0.877669903
77	314	0.843122677
192	429	0.944751381
206	139	1.0
219	139	0.992647059
234	139	1.0
231	468	0.833333333
9	246	0.8173258
129	208	1.0
213	208	1.0
114	351	0.88
8	245	0.814106997
97	334	0.850574713
128	108	0.996441281
166	108	0.991017964
