44461	44462	155
72377	847	10
69553	13759	109
40348	3602	90
39588	4262	89
71487	72552	10
61370	50	0
29181	3602	90
64820	35711	92
26934	143	25
9062	8384	3
56935	261	36
68427	32732	70
11550	583	87
74847	7	3
61590	60973	50
62874	13	6
30429	29750	48
65291	3452	79
66285	21042	79
1336	2824	12
47038	39480	73
66701	1047	80
30828	10623	13
24017	3085	3
60244	317	24
31794	5255	136
21176	26349	3
39621	8132	90
67006	1047	80
9036	8384	3
30653	391	3
53475	53114	183
9487	3269	1
4138	450	3
67579	67580	50
38223	4788	107
2751	3	1
17888	17890	3
4018	1079	3
61469	61471	0
22971	1076	50
34203	33764	129
60329	14338	79
12564	889	13
39465	25510	90
66479	12770	113
38563	14604	108
62935	6161	3
62758	1339	12
21282	7070	73
10711	31415	106
66181	20550	78
10343	28	45
1046	21277	13
19486	1056	28
50175	8942	164
21196	21197	29
7753	7754	29
790	3	1
65095	3085	80
47635	723	166
44604	43093	155
30662	29750	134
66087	1047	80
36246	31464	106
29761	190	1
70872	5645	0
1559	25313	3
66683	20550	78
72129	34015	62
34353	8319	45
37149	10605	107
11150	11151	3
29383	143	24
6332	204	1
5600	664	1
70426	3500	0
4664	31420	106
1355	1350	0
65946	39450	93
24555	162	3
71652	39444	29
37348	1077	3
7632	687	12
72649	28196	42
40155	25510	90
30951	13846	42
40482	3602	90
38244	5093	61
4212	1698	1
62249	143	24
37104	10237	107
20617	3	1
10354	162	3
70353	7542	109
44795	42930	155
17403	250	3
12990	204	1
63278	3558	29
5949	143	45
37684	31461	106
31066	3563	135
62877	1706	29
66260	20550	78
39921	4443	89
68400	68055	189
173	7141	3
36460	1454	1
68627	687	189
56821	261	36
39853	1154	13
70448	13752	109
187	25510	90
64841	39440	78
9239	1480	29
41439	4640	146
50068	47532	167
29220	1154	13
31228	3708	134
426	143	24
31091	2558	48
7019	2051	10
5792	3	1
51073	379	46
22288	176	25
67025	15333	78
40376	13476	91
64933	25203	76
66632	35648	92
10264	13	6
17400	9691	48
38147	38148	106
11675	2056	17
30165	10623	3
8558	176	25
21176	17741	3
14082	379	46
13780	204	1
30584	29792	134
16742	3	1
13021	143	25
71122	2158	13
29938	29750	134
57816	8942	164
27510	522	56
47747	8943	166
67189	39720	92
11508	11509	13
64775	20866	93
50443	8942	164
66558	1423	80
47533	8942	164
28336	5805	3
70467	6998	109
54040	53114	183
36360	1077	1
8541	135	1
43084	12233	155
26430	3	1
68460	10917	70
12549	890	3
356	1077	3
58068	8942	164
65782	12770	113
30595	4497	135
71477	4437	62
36113	36114	106
40274	3602	90
34300	28	45
30190	29750	48
24090	188	31
1	15375	1
30607	29769	134
30792	10623	3
61600	143	24
65592	40893	92
67180	3603	78
42986	42873	155
57847	47709	164
70184	70185	109
18800	8096	28
11663	10211	70
4160	36552	106
30307	29750	12
63139	5645	109
5867	71806	51
70442	7067	109
36196	1246	61
2802	522	56
38364	37947	106
14099	379	46
24415	9802	93
15	927	3
65123	1689	76
3819	3	1
6719	3	1
30354	4336	42
38709	32854	61
6899	47844	170
60898	20550	78
60749	1411	29
29913	29750	134
47919	47845	170
15591	3	1
57301	78	23
59268	39720	92
47568	46625	166
30197	4453	135
56075	56076	13
4671	190	1
29280	4626	89
41222	32931	145
65222	1047	80
31838	78	23
13581	59599	27
62937	571	10
17772	760	65
34081	34082	129
29896	29748	134
4435	1331	1
2597	2598	29
39882	479	48
68455	3172	70
31773	4332	136
39775	3602	90
39927	13476	91
58139	8942	164
33706	989	129
7023	2051	10
9063	8384	3
31229	29748	48
30638	29769	134
48	317	62
31010	10623	13
40215	3602	90
5270	1706	0
57945	47540	167
54000	53114	183
192	234	1
72698	8114	10
29900	29901	135
3648	71451	1
28384	28385	13
9598	3	1
65269	1047	80
65562	12770	113
69559	48	0
18500	2421	3
54206	111	21
62585	59751	95
24265	135	1
53968	53114	183
34368	28	23
35816	5986	107
12598	2286	135
27566	27568	1
66481	3603	78
38320	2718	61
2724	522	56
29131	479	48
24132	14414	71
63948	48	109
28710	44080	155
64806	3085	80
66978	39720	92
66928	17838	79
70207	7048	0
6497	3	1
187	14393	71
38655	315	1
62798	62799	29
68692	10211	70
31114	3708	134
18596	11642	1
24278	3717	138
47289	8942	164
44212	42711	155
526	204	1
51977	583	87
44222	44223	155
12115	3	1
60013	1689	76
30961	10623	3
65497	1688	76
1559	14692	3
65943	1047	80
32051	78	136
1559	8068	3
2337	3	1
28505	28507	51
57616	8942	164
39653	1416	6
39414	3602	90
27735	2206	0
36364	1081	61
36724	32855	61
64441	583	87
44305	42861	155
59534	3603	78
40872	3602	90
5957	3	1
13646	581	138
3098	143	25
39813	143	89
50304	47538	167
44389	44177	155
23282	187	29
59545	1047	80
67177	3603	78
65657	20550	78
53184	53114	183
21170	143	24
34781	31666	106
57789	47540	167
7423	176	25
6396	5695	43
37144	3332	3
30984	29748	134
39751	3602	90
24136	5792	3
57015	261	36
19761	188	31
47831	8942	164
1696	1698	1
27072	1423	75
4234	479	48
65345	39424	93
9944	522	56
12008	143	25
55499	55500	17
69140	4262	62
34045	317	129
48322	47845	170
33331	32773	141
66875	1414	79
35307	2724	120
32629	1246	3
23809	23810	1
396	522	56
40734	25510	90
67768	4028	109
43910	43911	155
10535	664	1
68966	10211	70
27339	3801	25
60761	12770	113
9732	3	1
50329	47587	167
38743	1248	107
33198	190	1
58010	8942	164
3835	6005	27
16178	16179	1
60903	11443	27
1559	25286	3
57548	8942	164
34667	3987	1
74823	379	46
61096	1047	80
10911	234	1
63568	4028	109
43928	42979	155
75162	234	1
12380	250	3
59736	59735	27
30228	10623	3
6116	204	1
59912	59913	95
30644	4297	42
51135	444	6
5443	3	1
3	16772	1
64881	1047	80
72381	4250	42
20364	143	25
65370	15333	78
3	16777	1
2165	1269	13
30086	29769	134
16379	111	21
34518	4249	45
933	3	1
30736	886	3
65407	15329	79
72280	444	6
37939	5639	1
4590	3876	1
29190	3602	90
53531	53114	183
62182	62183	95
39441	3602	90
59961	3611	94
57670	8942	164
15040	7543	28
68933	55974	109
52344	261	36
11630	15	1
62937	572	10
56474	3269	1
24405	1339	12
67184	12770	113
60181	20550	78
40705	3577	89
66114	1047	80
3360	188	31
3624	32849	61
60714	7070	93
65432	39454	93
40276	21041	76
71881	143	25
33427	4074	141
25429	4445	42
71168	143	25
26820	26821	45
1024	10237	107
18846	1178	69
33135	2528	1
12451	3602	90
16334	5727	1
38849	38850	1
8057	8067	3
31017	29750	48
74397	28	45
67374	2889	13
22627	6602	1
69271	48	0
51148	379	46
6943	23872	12
69982	583	87
7048	989	186
70814	7067	109
21176	11500	3
66915	17198	79
39804	1154	13
66562	20550	78
20653	1504	10
9110	9109	28
65467	20550	78
32117	261	36
69142	3835	27
30329	29748	134
23199	760	32
66247	35359	92
9021	8384	3
40625	1154	13
33457	317	141
40106	40472	13
60939	39503	76
13438	40241	90
41649	4136	146
6283	6215	48
37636	9697	1
13053	3	1
1277	464	0
3088	190	32
62594	61757	95
71442	71443	0
28813	595	48
24168	42837	155
28436	581	138
11580	3529	3
64846	1047	12
31085	7086	134
47052	39681	73
59520	59521	28
62875	143	24
33895	14619	129
75121	3	1
2890	7636	13
69089	69093	0
70599	7067	109
31977	78	136
72380	2220	48
65044	20550	78
37262	1079	61
68879	68880	50
2723	1047	12
3739	3740	48
41448	13846	146
16824	3876	1
53308	53114	183
70163	70164	50
65576	20550	78
71108	71107	3
30816	3708	48
67024	12770	113
30777	989	42
65897	20550	78
33892	19840	129
64860	40683	92
8706	3558	3
8306	44712	155
38151	32605	1
10123	250	3
16185	5374	12
23098	143	24
66012	39934	79
71765	16700	51
62017	62018	95
